Date,EUR,YTD
2003-09-11,0.8950899999999999,1.0246
2003-09-12,0.8915,1.0257
2003-09-15,0.8950899999999999,1.0249
2003-09-16,0.88645,1.0194
2003-09-17,0.89008,1.0327
2003-09-18,0.8919,1.0364
2003-09-19,0.88574,1.0283
2003-09-22,0.88402,1.019
2003-09-23,0.8719899999999999,1.0215
2003-09-24,0.8723,1.0172
2003-09-25,0.8721399999999999,1.0175
2003-09-26,0.8700899999999999,1.0234
2003-09-29,0.87055,1.0208
2003-09-30,0.8761899999999999,1.0226
2003-10-01,0.8582200000000001,1.0142
2003-10-02,0.85682,1.0141
2003-10-03,0.85529,1.0168
2003-10-06,0.85572,1.0111
2003-10-07,0.8636299999999999,1.0137
2003-10-08,0.8497600000000001,1.0196
2003-10-09,0.84882,1.0204
2003-10-10,0.8483200000000001,1.019
2003-10-13,0.8483200000000001,1.0127
2003-10-14,0.8555799999999999,1.0145
2003-10-15,0.85955,1.0129
2003-10-16,0.8569700000000001,1.0194
2003-10-17,0.8609600000000001,1.018
2003-10-20,0.8636299999999999,1.0243
2003-10-21,0.85992,1.0272
2003-10-22,0.86036,1.0259
2003-10-23,0.85514,1.0238
2003-10-24,0.84846,1.023
2003-10-27,0.84882,1.0269
2003-10-28,0.85121,1.0243
2003-10-29,0.8566799999999999,1.0262
2003-10-30,0.85587,1.0183
2003-10-31,0.85208,1.0178
2003-11-03,0.86044,1.0138
2003-11-04,0.8628899999999999,1.0026
2003-11-05,0.8719899999999999,1.0056
2003-11-06,0.87161,0.99761
2003-11-07,0.87344,1.0045
2003-11-10,0.87535,0.9987
2003-11-11,0.87085,0.98941
2003-11-12,0.86979,0.98756
2003-11-13,0.8620700000000001,0.99197
2003-11-14,0.85616,0.99325
2003-11-17,0.84998,0.99059
2003-11-18,0.84731,0.99711
2003-11-19,0.84904,0.99354
2003-11-20,0.8396299999999999,0.98765
2003-11-21,0.8397,0.9981
2003-11-24,0.84041,0.99661
2003-11-25,0.8458100000000001,0.99761
2003-11-26,0.84991,1.0096
2003-11-27,0.84545,1.0091
2003-11-28,0.84019,1.0074
2003-12-01,0.83375,1.0066
2003-12-02,0.8320200000000001,1.0074
2003-12-03,0.8350700000000001,1.0131
2003-12-04,0.82631,1.0033
2003-12-05,0.8282299999999999,0.9982
2003-12-08,0.82734,1.0009
2003-12-09,0.8184600000000001,0.9994
2003-12-10,0.81579,0.99079
2003-12-11,0.81706,0.98902
2003-12-12,0.82055,0.99334
2003-12-15,0.81606,0.98464
2003-12-16,0.81766,0.97838
2003-12-17,0.8104399999999999,0.97924
2003-12-18,0.81057,0.97021
2003-12-19,0.8062600000000001,0.97656
2003-12-22,0.80528,0.97343
2003-12-23,0.80425,0.97513
2003-12-24,0.80697,0.97257
2003-12-25,0.8059999999999999,0.97125
2003-12-26,0.8059999999999999,0.97125
2003-12-29,0.8059999999999999,0.97125
2003-12-30,0.80006,0.96376
2003-12-31,0.8002600000000001,0.95951
2004-01-01,0.79177,0.95356
2004-01-02,0.79177,0.95356
2004-01-05,0.7941600000000001,0.9573
2004-01-06,0.79008,0.96228
2004-01-07,0.78394,0.95347
2004-01-08,0.78871,0.95923
2004-01-09,0.79151,0.96367
2004-01-12,0.7851100000000001,0.95175
2004-01-13,0.77954,0.95211
2004-01-14,0.78438,0.94796
2004-01-15,0.7879,0.94545
2004-01-16,0.79145,0.95003
2004-01-19,0.80045,0.94661
2004-01-20,0.80821,0.93879
2004-01-21,0.7977,0.9387
2004-01-22,0.7932100000000001,0.9387
2004-01-23,0.78678,0.93301
2004-01-26,0.7879,0.92963
2004-01-27,0.79523,0.9273
2004-01-28,0.79891,0.91996
2004-01-29,0.79599,0.92524
2004-01-30,0.80205,0.92013
2004-02-02,0.8074899999999999,0.93041
2004-02-03,0.8025,0.92456
2004-02-04,0.7946,0.93205
2004-02-05,0.79847,0.92404
2004-02-06,0.79472,0.91659
2004-02-09,0.79815,0.92481
2004-02-10,0.7866,0.92687
2004-02-11,0.78345,0.92524
2004-02-12,0.78864,0.93406
2004-02-13,0.78113,0.93188
2004-02-16,0.78027,0.92954
2004-02-17,0.78487,0.92653
2004-02-18,0.77773,0.93318
2004-02-19,0.77979,0.93336
2004-02-20,0.78592,0.9331
2004-02-23,0.7897,0.92911
2004-02-24,0.7951699999999999,0.92268
2004-02-25,0.79397,0.93275
2004-02-26,0.79183,0.92816
2004-02-27,0.8036,0.92997
2004-03-01,0.80528,0.92404
2004-03-02,0.80103,0.92404
2004-03-03,0.80632,0.92747
2004-03-04,0.82352,0.92593
2004-03-05,0.82325,0.91583
2004-03-08,0.82021,0.91216
2004-03-09,0.8093199999999999,0.91216
2004-03-10,0.809,0.90588
2004-03-11,0.81307,0.90563
2004-03-12,0.81593,0.90253
2004-03-15,0.81733,0.92047
2004-03-16,0.8144600000000001,0.92047
2004-03-17,0.80972,0.92807
2004-03-18,0.81626,0.92584
2004-03-19,0.8155899999999999,0.94464
2004-03-22,0.81011,0.94411
2004-03-23,0.80952,0.94411
2004-03-24,0.8146,0.94589
2004-03-25,0.81994,0.94038
2004-03-26,0.8242700000000001,0.93537
2004-03-29,0.8214899999999999,0.93257
2004-03-30,0.8252200000000001,0.93257
2004-03-31,0.82055,0.93197
2004-04-01,0.81806,0.91785
2004-04-02,0.8116899999999999,0.91819
2004-04-05,0.81182,0.9344
2004-04-06,0.8293200000000001,0.9344
2004-04-07,0.8271299999999999,0.93284
2004-04-08,0.8263799999999999,0.945
2004-04-09,0.8267200000000001,0.93809
2004-04-12,0.8267200000000001,0.9255
2004-04-13,0.8267200000000001,0.9255
2004-04-14,0.8350700000000001,0.93153
2004-04-15,0.8386399999999999,0.93136
2004-04-16,0.83949,0.9273
2004-04-19,0.8380799999999999,0.91575
2004-04-20,0.83029,0.91575
2004-04-21,0.8385,0.91575
2004-04-22,0.84488,0.91575
2004-04-23,0.84225,0.91149
2004-04-26,0.8414,0.90843
2004-04-27,0.8438100000000001,0.90843
2004-04-28,0.84126,0.91133
2004-04-29,0.8398399999999999,0.90703
2004-04-30,0.84559,0.91274
2004-05-03,0.8370299999999999,0.8983899999999999
2004-05-04,0.8366100000000001,0.8983899999999999
2004-05-05,0.8291200000000001,0.88976
2004-05-06,0.8246700000000001,0.8914200000000001
2004-05-07,0.82535,0.8815200000000001
2004-05-10,0.82829,0.87451
2004-05-11,0.8443799999999999,0.87451
2004-05-12,0.8471700000000001,0.8721399999999999
2004-05-13,0.8433799999999999,0.86229
2004-05-14,0.8458100000000001,0.86821
2004-05-17,0.84731,0.87275
2004-05-18,0.8317399999999999,0.87275
2004-05-19,0.83452,0.8701700000000001
2004-05-20,0.8341,0.8582200000000001
2004-05-21,0.8387899999999999,0.8588100000000001
2004-05-24,0.83119,0.85324
2004-05-25,0.8355600000000001,0.85324
2004-05-26,0.8289799999999999,0.8481799999999999
2004-05-27,0.82604,0.8465299999999999
2004-05-28,0.8220299999999999,0.8402700000000001
2004-05-31,0.8165899999999999,0.8506299999999999
2004-06-01,0.81981,0.8506299999999999
2004-06-02,0.8175899999999999,0.84588
2004-06-03,0.8146,0.85675
2004-06-04,0.81793,0.8530200000000001
2004-06-07,0.81947,0.84926
2004-06-08,0.81175,0.84926
2004-06-09,0.8134,0.8465299999999999
2004-06-10,0.82257,0.8528100000000001
2004-06-11,0.8297399999999999,0.85477
2004-06-14,0.8329200000000001,0.8522200000000001
2004-06-15,0.83326,0.8522200000000001
2004-06-16,0.82981,0.8509899999999999
2004-06-17,0.8293200000000001,0.8436
2004-06-18,0.8302200000000001,0.84767
2004-06-21,0.8304299999999999,0.858
2004-06-22,0.82563,0.858
2004-06-23,0.82706,0.858
2004-06-24,0.82734,0.8666299999999999
2004-06-25,0.82495,0.8646799999999999
2004-06-28,0.82386,0.87474
2004-06-29,0.81913,0.87474
2004-06-30,0.82176,0.8761899999999999
2004-07-01,0.82271,0.8751200000000001
2004-07-02,0.82183,0.8663299999999999
2004-07-05,0.8231799999999999,0.8728299999999999
2004-07-06,0.8138,0.8728299999999999
2004-07-07,0.8124100000000001,0.8721399999999999
2004-07-08,0.8092600000000001,0.88028
2004-07-09,0.80985,0.88292
2004-07-12,0.80828,0.8816799999999999
2004-07-13,0.80665,0.8816799999999999
2004-07-14,0.80828,0.8837799999999999
2004-07-15,0.80769,0.8850299999999999
2004-07-16,0.80815,0.8834700000000001
2004-07-19,0.80952,0.89039
2004-07-20,0.80567,0.89039
2004-07-21,0.80743,0.89246
2004-07-22,0.8132699999999999,0.88621
2004-07-23,0.81513,0.8816
2004-07-26,0.8202799999999999,0.8720700000000001
2004-07-27,0.8221700000000001,0.8720700000000001
2004-07-28,0.82183,0.87131
2004-07-29,0.8309799999999999,0.8704
2004-07-30,0.8315299999999999,0.87245
2004-08-02,0.83063,0.88355
2004-08-03,0.8295299999999999,0.88355
2004-08-04,0.83181,0.8953399999999999
2004-08-05,0.83452,0.88441
2004-08-06,0.8304299999999999,0.8823799999999999
2004-08-09,0.82891,0.88082
2004-08-10,0.81653,0.88082
2004-08-11,0.8144,0.88292
2004-08-12,0.8174600000000001,0.88535
2004-08-13,0.81593,0.88402
2004-08-16,0.8184,0.88731
2004-08-17,0.81057,0.88731
2004-08-18,0.8105,0.88913
2004-08-19,0.81096,0.89381
2004-08-20,0.80913,0.90375
2004-08-23,0.81347,0.90835
2004-08-24,0.81633,0.90835
2004-08-25,0.8237899999999999,0.91794
2004-08-26,0.82775,0.91844
2004-08-27,0.82645,0.92456
2004-08-30,0.82747,0.92353
2004-08-31,0.8300799999999999,0.92353
2004-09-01,0.8257,0.91516
2004-09-02,0.82183,0.91199
2004-09-03,0.8215600000000001,0.92174
2004-09-06,0.8213600000000001,0.92439
2004-09-07,0.8284299999999999,0.92439
2004-09-08,0.82788,0.9155
2004-09-09,0.83063,0.90326
2004-09-10,0.8202799999999999,0.89807
2004-09-13,0.8184,0.8915
2004-09-14,0.81726,0.8915
2004-09-15,0.81719,0.8950899999999999
2004-09-16,0.81713,0.88645
2004-09-17,0.8225,0.89008
2004-09-20,0.81893,0.88574
2004-09-21,0.8242700000000001,0.88574
2004-09-22,0.8146,0.88402
2004-09-23,0.81666,0.8719899999999999
2004-09-24,0.81202,0.8723
2004-09-27,0.8124100000000001,0.8700899999999999
2004-09-28,0.81606,0.8700899999999999
2004-09-29,0.8107,0.87055
2004-09-30,0.8114899999999999,0.8761899999999999
2004-10-01,0.80587,0.8582200000000001
2004-10-04,0.80561,0.85529
2004-10-05,0.8126800000000001,0.85529
2004-10-06,0.81274,0.85572
2004-10-07,0.8142,0.8636299999999999
2004-10-08,0.81294,0.8497600000000001
2004-10-11,0.81202,0.8483200000000001
2004-10-12,0.80697,0.8483200000000001
2004-10-13,0.8122199999999999,0.8483200000000001
2004-10-14,0.8152,0.8555799999999999
2004-10-15,0.80795,0.85955
2004-10-18,0.8055399999999999,0.8609600000000001
2004-10-19,0.80167,0.8609600000000001
2004-10-20,0.79942,0.8636299999999999
2004-10-21,0.79428,0.85992
2004-10-22,0.79327,0.86036
2004-10-25,0.79327,0.84846
2004-10-26,0.78174,0.84846
2004-10-27,0.78223,0.84882
2004-10-28,0.78174,0.85121
2004-10-29,0.78672,0.8566799999999999
2004-11-01,0.7851100000000001,0.85208
2004-11-02,0.7844399999999999,0.85208
2004-11-03,0.78709,0.86044
2004-11-04,0.7840699999999999,0.8628899999999999
2004-11-05,0.77676,0.8719899999999999
